source,target,weight
3010_1,12445010_1,0.7656564125462473
3010_1,12455010_1,0.8431721909902503
3010_1,12458020_1,0.7577392533969287
3010_1,12474040_1,0.8403180520677382
3010_1,12484010_1,0.9127467269390214
3010_1,12494040_1,0.7788867658940495
3010_1,12507010_1,0.8419378786894656
3010_1,12510010_1,0.8458461346576287
3010_1,12510020_1,0.7737913163051092
3010_1,12512010_1,0.84419351778721
3010_1,12512020_1,0.8391542968625243
3010_1,12516010_1,0.7799132778624165
3010_1,12516040_1,0.7742938474063094
3010_1,12529020_1,0.8404769152223892
3010_1,12543010_1,0.8389879538880014
3010_1,12549010_1,0.7113852103597798
3010_1,12571020_1,0.7084449087424584
3010_1,12573010_1,0.8370612320133299
3010_1,12588010_1,0.8470070003690442
3010_1,12588020_1,0.7605887176035447
3010_1,12596010_1,0.705349225908282
3010_1,12611020_1,0.91773758151791
3010_1,12629010_1,0.9123113221097569
3010_1,12671010_1,0.7041078625976986
3010_1,12695030_1,0.8384112698614792
3010_1,12715020_1,0.764093325044286
3010_1,12715030_1,0.7804531253883947
3010_1,12738010_1,0.7041078625976986
3010_1,12744010_1,0.7058353260366143
3010_1,12745020_1,0.7707548603752206
3010_1,12756010_1,0.7746561703062911
3010_1,12786010_1,0.9098509718273634
3010_1,12792010_1,0.7057027472242214
3010_1,12821010_1,0.9145149273349084
3010_1,12864020_1,0.7046334763736251
3010_1,12887010_1,0.7990601769621644
3010_1,12909020_1,0.8361341566413558
3010_1,12920010_1,0.7761977298273282
3010_1,12964040_1,0.7680796690420526
3010_1,12967010_1,0.9214410930257624
3010_1,12979010_1,0.8443378055159425
3010_1,12979020_1,0.7000405578858848
3010_1,12987020_1,0.7078460813067946
3010_1,13062010_1,0.7717514818801363
3010_1,13063010_1,0.8491534273729147
3010_1,13140010_1,0.8530761167451
3010_1,13142010_1,0.7717847558265907
3010_1,13158010_1,0.8242470741756969
3010_1,13194010_1,0.7670250106665648
3010_1,13208010_1,0.701938200605764
3010_1,13231010_1,0.7015081871197899
3010_1,13231020_1,0.7003904590156608
3010_1,13238010_1,0.7707354311623196
3010_1,13286010_1,0.7703868147475235
3010_1,13286020_1,0.7065872057358624
3010_1,13296010_1,0.8477753007497185
3010_1,13305030_1,0.700131669048941
3010_1,13318010_1,0.74847853657729
3010_1,13318020_1,0.7814168952390164
3010_1,13344010_1,0.7716129436368677
3010_1,13344040_1,0.8218919984815596
3010_1,13371010_1,0.7697080066861164
3010_1,13399010_1,0.7092826235256198
3010_1,13433030_1,0.7585211285323341
3010_1,13547020_1,0.7740910902234027
3010_1,13552020_1,0.7701693504082441
3010_1,13552030_1,0.8357135231184512
3010_1,13561020_1,0.7568788243726562
3010_1,13598010_1,0.705774290926009
3010_1,13600010_1,0.7001679412354285
3010_1,13601040_1,0.7723040249286712
3010_1,13612010_1,0.9213013685223068
3010_1,13631010_1,0.8367095123857947
3010_1,13637010_1,0.7791613981631684
3010_1,13671020_1,0.7727900880078131
3010_1,13699010_1,0.7638310709782694
3010_1,13734010_1,0.7054251537642598
3010_1,13734020_1,0.7630367805905713
3010_1,13753010_1,0.7003130032236294
3010_1,13757030_1,0.7816219813751937
3010_1,13772020_1,0.8306701074021037
3010_1,13772030_1,0.8263622556762842
3010_1,13784010_1,0.8407858759676948
3010_1,13784040_1,0.7677974584982689
3010_1,13813010_1,0.774681734247626
3010_1,13814010_1,0.7071746556396109
3010_1,13814040_1,0.7702897071044011
3010_1,13815010_1,0.8415840771032621
3010_1,13816010_1,0.8263686744485106
3010_1,13816040_1,0.8329355117058872
3010_1,13817010_1,0.7782605189701014
3010_1,13817040_1,0.769993073448037
3010_1,13820010_1,0.8195108826953819
3010_1,13820020_1,0.7556745548486608
3010_1,13857010_1,0.8392139357675306
3010_1,13857020_1,0.7816334535883729
3010_1,13858030_1,0.7021034890505544
3010_1,13897010_1,0.7700868078995982
3010_1,13899010_1,0.7742498549232607
3010_1,13899040_1,0.7632216402701592
3010_1,13902010_1,0.9223701556751404
3010_1,13902020_1,0.8414216448766085
3010_1,13912010_1,0.7819965404563813
3010_1,13912020_1,0.7678925315233551
3010_1,13915010_1,0.7737147191623689
3010_1,13916010_1,0.7030240777267862
3010_1,13916040_1,0.7110446891930731
3010_1,14028010_1,0.8407364550921652
3010_1,14028020_1,0.844401460141524
3010_1,14043010_1,0.8522590174350265
3010_1,14043020_1,0.914409288086566
3010_1,14063010_1,0.7092762418025836
3010_1,14063020_1,0.7720033014533513
3010_1,14069010_1,0.74945989656017
3010_1,14069020_1,0.8176416971841648
3010_1,14072010_1,0.7585195467377355
3010_1,14080020_1,0.7595236044954198
3010_1,14080030_1,0.7762905109483342
3010_1,14081010_1,0.8484810010345437
3010_1,14085010_1,0.772373676034319
3010_1,14092040_1,0.7013363749300671
3010_1,14098010_1,0.7898066771875847
3010_1,14115020_1,0.7613155503348825
3010_1,14136040_1,0.7017494034205582
3010_1,14137020_1,0.7123023785038183
3010_1,14147010_1,0.83977948925674
3010_1,14149030_1,0.9148434593150114
3010_1,14167010_1,0.762703962911071
3010_1,14167040_1,0.7796386455932975
3010_1,14179010_1,0.8358226199481773
3010_1,14179040_1,0.837226652188575
3010_1,14212010_1,0.7488419918789135
3010_1,14212020_1,0.7811774435774621
3010_1,14214010_1,0.770066530328848
3010_1,14215030_1,0.7720558625908103
3010_1,14223010_1,0.8054443462740003
3010_1,14234010_1,0.7740052551394894
3010_1,14244020_1,0.8407364550921652
3010_1,14247010_1,0.8530505528037651
3010_1,14247040_1,0.7726359301003355
3010_1,14251010_1,0.8372888838508088
3010_1,14252010_1,0.9080028010971748
3010_1,14259030_1,0.83977948925674
