### HYPERPARAMETER TUNING RESULTS (AUTO-SAVED PER COMBINATION, SORTED) ###

PARAMS	AUROC	AUPRC
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8157	0.8026
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8156	0.8039
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8152	0.8014
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8151	0.8017
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8146	0.8013
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8144	0.8027
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8141	0.8017
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8133	0.8025
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8128	0.7982
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8122	0.7979
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8122	0.7936
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8117	0.7914
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8111	0.7912
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8109	0.7889
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8108	0.7895
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8101	0.7917
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8089	0.7877
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8088	0.7887
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8077	0.7909
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8067	0.7886
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8051	0.7844
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8049	0.7836
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.7953	0.7629
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.7949	0.7610
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.7894	0.7550
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.7892	0.7563
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.7845	0.7456
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.7843	0.7380
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.7833	0.7378
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.7832	0.7453
